State,Year,Quarter,Transaction_Count,Transaction_Amount,User_Count,Avg_Transaction_Value,Transactions_Per_User
Chandigarh,2020,2,1528010,3847015729.6900754,336351.0,2517.6639745093785,4.542903098251529
Chandigarh,2020,3,2158086,5089809353.365071,362588.0,2358.4830972283175,5.95189581563648
Chandigarh,2020,4,2912716,6146762901.349342,391402.0,2110.3200247979353,7.441750425393841
Chandigarh,2021,1,3970237,7596420859.545997,419998.0,1913.3419137310939,9.452990252334535
Chandigarh,2021,2,4417547,8417673939.936105,448572.0,1905.5086318122037,9.848022168124627
Chandigarh,2021,3,6649378,11815883004.693304,480463.0,1776.9907207400909,13.839521461590174
Chandigarh,2021,4,7898903,14373583510.618456,512092.0,1819.6936347513642,15.424773282925724
Chandigarh,2022,1,8600491,15174991549.84,541549.0,1764.433164320502,15.881279441010879
Chandigarh,2022,2,10772489,17283500158.37099,,1604.411028720567,
Chandigarh,2022,3,13478173,20559757737.405853,,1525.4113252149125,
Chandigarh,2022,4,17904840,27879754566.93942,,1557.1071602393217,
Chandigarh,2023,1,9815605,12824894394.0,,1306.5821611607232,
Chandigarh,2023,2,11553687,14414408750.0,,1247.6024969345283,
Chandigarh,2023,3,13052165,15426783311.0,,1181.9329062266681,
Chandigarh,2023,4,13280078,16281223001.0,,1225.9885070705157,
Chandigarh,2024,1,13155173,15842176181.0,,1204.2544922062218,
Chandigarh,2024,2,15940973,17556903812.0,,1101.369647386016,
Chandigarh,2024,3,17708385,19259257876.0,,1087.5784480628809,
Chandigarh,2024,4,18528444,20501385889.0,,1106.4817903219505,
Chhattisgarh,2018,1,1891514,2149155557.2367654,679263.0,1136.209172777344,2.7846563113256573
Chhattisgarh,2018,2,2816156,4264170443.1616497,950675.0,1514.1811899488698,2.962269966076735
Chhattisgarh,2018,3,3859604,6302307073.446316,1217792.0,1632.8895589926624,3.1693458324574313
Chhattisgarh,2018,4,5365844,9416412664.971485,1579998.0,1754.880064528802,3.3961080963393626
Chhattisgarh,2019,1,7887669,12544556385.328442,1908898.0,1590.400964509089,4.132053677042985
Chhattisgarh,2019,2,9389945,17002355688.822294,2191066.0,1810.6981125898283,4.285560088103233
Chhattisgarh,2019,3,12243111,19803259167.45353,2435058.0,1617.5022155278614,5.027851903322221
